city,Chambres,Surface_totale_m²,Salles_de_bain,Prix,ipai_t4_2024
Marrakech,4,181.424,3.0,1055558,10.9
Marrakech,1,110.952,1.0,840577,10.9
Marrakech,6,245.364,3.0,1136329,10.9
Marrakech,4,162.012,2.0,689436,10.9
Marrakech,3,193.016,3.0,1074897,10.9
Marrakech,1,82.064,1.0,434379,10.9
Marrakech,3,159.988,3.0,883951,10.9
Marrakech,4,217.764,2.0,979171,10.9
Marrakech,3,187.956,3.0,952347,10.9
Marrakech,3,159.712,3.0,694677,10.9
Marrakech,6,291.456,3.0,1758740,10.9
Marrakech,1,72.128,2.0,436655,10.9
Marrakech,3,144.624,3.0,817931,10.9
Marrakech,6,284.188,3.0,1540970,10.9
Marrakech,4,203.964,3.0,1056966,10.9
Marrakech,5,224.756,3.0,1122466,10.9
Marrakech,6,235.888,3.0,1243571,10.9
Marrakech,3,203.32,3.0,1012780,10.9
Marrakech,1,105.34,2.0,786986,10.9
Marrakech,4,190.34799999999998,2.0,993259,10.9
Marrakech,6,236.716,4.0,1443454,10.9
Marrakech,2,83.812,1.0,627979,10.9
Marrakech,6,302.404,3.0,1589251,10.9
Marrakech,2,73.968,1.0,510572,10.9
Marrakech,6,280.876,4.0,1591668,10.9
Marrakech,5,286.212,4.0,1675539,10.9
Marrakech,6,226.87199999999999,3.0,1119997,10.9
Marrakech,4,185.564,2.0,920397,10.9
Marrakech,3,191.636,3.0,924233,10.9
Marrakech,6,226.32,4.0,1247978,10.9
Marrakech,6,231.748,4.0,1393927,10.9
Marrakech,3,144.164,2.0,783791,10.9
Marrakech,1,112.792,2.0,938634,10.9
Marrakech,2,118.404,1.0,735309,10.9
Marrakech,6,299.46,4.0,1652570,10.9
Marrakech,6,314.548,3.0,1450365,10.9
Marrakech,6,239.66,4.0,1303017,10.9
Marrakech,6,230.27599999999998,3.0,1410907,10.9
Marrakech,4,133.85999999999999,2.0,680077,10.9
Marrakech,6,318.32,3.0,1866238,10.9
Marrakech,5,306.084,3.0,1819737,10.9
Marrakech,4,135.976,2.0,680087,10.9
Marrakech,2,90.712,2.0,689155,10.9
Marrakech,6,275.908,4.0,1256805,10.9
Marrakech,5,296.7,3.0,1849975,10.9
Marrakech,5,257.692,3.0,1434269,10.9
Marrakech,3,177.376,3.0,1000505,10.9
Marrakech,6,251.712,4.0,1365403,10.9
Marrakech,1,80.132,1.0,686508,10.9
Marrakech,5,305.992,3.0,1875706,10.9
Marrakech,2,106.628,1.0,941484,10.9
Marrakech,6,317.216,4.0,1527576,10.9
Marrakech,5,294.768,4.0,1490475,10.9
Marrakech,4,141.68,2.0,716511,10.9
Marrakech,5,267.168,3.0,1359044,10.9
Marrakech,6,283.728,4.0,1688079,10.9
Marrakech,5,249.596,4.0,1227923,10.9
Marrakech,2,112.42399999999999,2.0,732514,10.9
Marrakech,2,72.956,2.0,426000,10.9
Marrakech,6,294.492,4.0,1691978,10.9
Marrakech,6,300.748,4.0,1583193,10.9
Marrakech,3,178.94,2.0,930040,10.9
Marrakech,2,84.64,2.0,497594,10.9
Marrakech,6,256.496,4.0,1156433,10.9
Marrakech,1,96.232,2.0,450173,10.9
Marrakech,5,226.964,3.0,1269038,10.9
Marrakech,6,251.988,4.0,1205859,10.9
Marrakech,5,287.592,3.0,1752248,10.9
Marrakech,3,150.512,3.0,882604,10.9
Marrakech,2,82.616,2.0,642159,10.9
Marrakech,5,240.764,4.0,1175427,10.9
Marrakech,5,238.188,3.0,1192630,10.9
Marrakech,6,279.036,4.0,1793935,10.9
Marrakech,6,313.996,3.0,1414700,10.9
Marrakech,2,102.856,2.0,840288,10.9
Marrakech,6,257.968,4.0,1164301,10.9
Marrakech,5,226.412,3.0,1238102,10.9
Marrakech,3,212.06,2.0,1016313,10.9
Marrakech,6,260.176,4.0,1104590,10.9
Marrakech,3,167.256,2.0,1070948,10.9
Marrakech,4,195.96,3.0,964095,10.9
Marrakech,3,218.316,2.0,1071695,10.9
Marrakech,3,162.748,2.0,683525,10.9
Marrakech,1,95.864,1.0,637021,10.9
Marrakech,1,98.256,2.0,537341,10.9
Marrakech,4,136.528,1.0,694796,10.9
Marrakech,6,223.83599999999998,3.0,1237150,10.9
Marrakech,5,258.06,3.0,1172459,10.9
Marrakech,6,277.19599999999997,3.0,1730094,10.9
Marrakech,4,218.224,3.0,1042873,10.9
Marrakech,4,172.96,2.0,975286,10.9
Marrakech,6,322.0,3.0,1738217,10.9
Marrakech,5,278.944,4.0,1543579,10.9
Marrakech,3,151.432,2.0,832029,10.9
Marrakech,5,278.944,4.0,1898303,10.9
Marrakech,3,150.60399999999998,2.0,846741,10.9
Marrakech,6,252.26399999999998,4.0,1168419,10.9
Marrakech,1,99.82,2.0,524213,10.9
Marrakech,5,241.59199999999998,4.0,1296336,10.9
Tanger,2,78.384,2.0,667711,17.7
Tanger,3,216.66,2.0,1105887,17.7
Tanger,3,141.312,3.0,773774,17.7
Tanger,3,125.304,1.0,770136,17.7
