city,neighborhood,apartment_price_sqm,villa_price_sqm,ipai_apartment,ipai_villa
casablanca,Anfa,19114.0,26457.0,127.8,125.9
casablanca,El Maarif,15969.0,18434.0,124.18,122.24
casablanca,Sidi Belyout,15807.0,16058.0,124.18,122.24
casablanca,Hay-Hassani,13646.0,17710.0,124.18,122.24
casablanca,Aîn-Chock,13507.0,15012.0,124.18,122.24
casablanca,Mers-Sultan,13171.0,12378.0,124.18,122.24
casablanca,Assoukhour Assawda,12411.0,10750.0,124.18,122.24
casablanca,Aîn-Sebaâ,10966.0,10786.0,124.18,122.24
casablanca,Hay Mohammadi,10885.0,,124.18,122.24
casablanca,Al-Fida,10116.0,,124.18,122.24
casablanca,Ain Diab,30706.0,18458.0,126.4,124.7
casablanca,Casablanca Finance City,25283.0,,124.18,122.24
casablanca,Derb Abdellah,24321.0,,124.18,122.24
casablanca,Gauthier,22267.0,26801.0,124.2,122.1
casablanca,Racine,19534.0,16145.0,125.6,123.4
casablanca,Marina,19411.0,,124.18,122.24
casablanca,Oasis,19301.0,18764.0,124.18,122.24
casablanca,El Manar - El Hank,19233.0,,124.18,122.24
casablanca,Massira Khadra,18865.0,,124.18,122.24
casablanca,Ferme Bretonne,18683.0,27128.0,124.18,122.24
casablanca,Anfa,19114.0,26457.0,127.8,125.9
casablanca,El Maarif,15969.0,18434.0,124.18,122.24
casablanca,Sidi Belyout,15807.0,16058.0,124.18,122.24
casablanca,Hay-Hassani,13646.0,17710.0,124.18,122.24
casablanca,Aîn-Chock,13507.0,15012.0,124.18,122.24
casablanca,Mers-Sultan,13171.0,12378.0,124.18,122.24
casablanca,Assoukhour Assawda,12411.0,10750.0,124.18,122.24
casablanca,Aîn-Sebaâ,10966.0,10786.0,124.18,122.24
casablanca,Hay Mohammadi,10885.0,,124.18,122.24
casablanca,Al-Fida,10116.0,,124.18,122.24
casablanca,Ain Diab,30706.0,18458.0,126.4,124.7
casablanca,Casablanca Finance City,25283.0,,124.18,122.24
casablanca,Derb Abdellah,24321.0,,124.18,122.24
casablanca,Gauthier,22267.0,26801.0,124.2,122.1
casablanca,Racine,19534.0,16145.0,125.6,123.4
casablanca,Marina,19411.0,,124.18,122.24
casablanca,Oasis,19301.0,18764.0,124.18,122.24
casablanca,El Manar - El Hank,19233.0,,124.18,122.24
casablanca,Massira Khadra,18865.0,,124.18,122.24
casablanca,Ferme Bretonne,18683.0,27128.0,124.18,122.24
casablanca,Anfa,19114.0,26457.0,127.8,125.9
casablanca,El Maarif,15969.0,18434.0,124.18,122.24
casablanca,Sidi Belyout,15807.0,16058.0,124.18,122.24
casablanca,Hay-Hassani,13646.0,17710.0,124.18,122.24
casablanca,Aîn-Chock,13507.0,15012.0,124.18,122.24
casablanca,Mers-Sultan,13171.0,12378.0,124.18,122.24
casablanca,Assoukhour Assawda,12411.0,10750.0,124.18,122.24
casablanca,Aîn-Sebaâ,10966.0,10786.0,124.18,122.24
casablanca,Hay Mohammadi,10885.0,,124.18,122.24
casablanca,Al-Fida,10116.0,,124.18,122.24
casablanca,Ain Diab,30706.0,18458.0,126.4,124.7
casablanca,Casablanca Finance City,25283.0,,124.18,122.24
casablanca,Derb Abdellah,24321.0,,124.18,122.24
casablanca,Gauthier,22267.0,26801.0,124.2,122.1
casablanca,Racine,19534.0,16145.0,125.6,123.4
casablanca,Marina,19411.0,,124.18,122.24
