city,neighborhood,apartment_price_sqm,villa_price_sqm,ipai_apartment,ipai_villa,size_sqm,bedrooms,bathrooms,property_age,floor_level,has_parking,has_garden,has_pool,total_apartment_price,total_villa_price
casablanca,Anfa,19114.0,26457.0,127.8,125.9,95,2,2,7,2,False,False,False,1815830.0,2513415.0
casablanca,El Maarif,15969.0,18434.0,124.18,122.24,194,2,2,6,0,False,False,False,3097986.0,3576196.0
casablanca,Sidi Belyout,15807.0,16058.0,124.18,122.24,83,3,1,19,6,False,True,False,1311981.0,1332814.0
casablanca,Hay-Hassani,13646.0,17710.0,124.18,122.24,144,2,2,22,1,False,False,False,1965024.0,2550240.0
casablanca,Aîn-Chock,13507.0,15012.0,124.18,122.24,163,1,2,27,9,False,False,False,2201641.0,2446956.0
casablanca,Mers-Sultan,13171.0,12378.0,124.18,122.24,136,3,1,1,9,False,False,False,1791256.0,1683408.0
casablanca,Assoukhour Assawda,12411.0,10750.0,124.18,122.24,64,1,1,2,7,False,False,False,794304.0,688000.0
casablanca,Aîn-Sebaâ,10966.0,10786.0,124.18,122.24,129,2,2,23,6,False,False,False,1414614.0,1391394.0
casablanca,Hay Mohammadi,10885.0,,124.18,122.24,83,2,2,3,0,False,False,False,903455.0,
casablanca,Al-Fida,10116.0,,124.18,122.24,85,1,1,21,7,False,True,False,859860.0,
casablanca,Ain Diab,30706.0,18458.0,126.4,124.7,99,2,1,20,1,False,False,False,3039894.0,1827342.0
casablanca,Casablanca Finance City,25283.0,,124.18,122.24,118,3,2,9,7,False,False,False,2983394.0,
casablanca,Derb Abdellah,24321.0,,124.18,122.24,70,1,1,2,3,False,False,False,1702470.0,
casablanca,Gauthier,22267.0,26801.0,124.2,122.1,81,1,1,6,1,True,False,False,1803627.0,2170881.0
casablanca,Racine,19534.0,16145.0,125.6,123.4,195,1,1,9,1,False,False,False,3809130.0,3148275.0
casablanca,Marina,19411.0,,124.18,122.24,199,3,1,12,5,False,False,True,3862789.0,
casablanca,Oasis,19301.0,18764.0,124.18,122.24,87,1,2,19,1,False,False,False,1679187.0,1632468.0
casablanca,El Manar - El Hank,19233.0,,124.18,122.24,67,3,1,4,3,False,False,False,1288611.0,
casablanca,Massira Khadra,18865.0,,124.18,122.24,54,1,1,6,5,False,False,False,1018710.0,
casablanca,Ferme Bretonne,18683.0,27128.0,124.18,122.24,65,3,1,20,3,False,False,False,1214395.0,1763320.0
casablanca,Anfa,19114.0,26457.0,127.8,125.9,78,3,1,3,3,False,False,False,1490892.0,2063646.0
casablanca,El Maarif,15969.0,18434.0,124.18,122.24,71,1,1,6,4,False,False,False,1133799.0,1308814.0
casablanca,Sidi Belyout,15807.0,16058.0,124.18,122.24,114,1,2,25,1,False,False,False,1801998.0,1830612.0
casablanca,Hay-Hassani,13646.0,17710.0,124.18,122.24,186,2,1,22,8,True,False,False,2538156.0,3294060.0
casablanca,Aîn-Chock,13507.0,15012.0,124.18,122.24,195,2,1,15,2,False,False,False,2633865.0,2927340.0
casablanca,Mers-Sultan,13171.0,12378.0,124.18,122.24,168,2,2,24,9,False,False,False,2212728.0,2079504.0
casablanca,Assoukhour Assawda,12411.0,10750.0,124.18,122.24,152,2,2,22,1,False,False,False,1886472.0,1634000.0
casablanca,Aîn-Sebaâ,10966.0,10786.0,124.18,122.24,99,2,1,0,6,False,False,False,1085634.0,1067814.0
casablanca,Hay Mohammadi,10885.0,,124.18,122.24,128,2,1,11,5,False,False,False,1393280.0,
casablanca,Al-Fida,10116.0,,124.18,122.24,174,3,1,23,7,False,False,False,1760184.0,
casablanca,Ain Diab,30706.0,18458.0,126.4,124.7,180,2,1,0,4,False,False,False,5527080.0,3322440.0
casablanca,Casablanca Finance City,25283.0,,124.18,122.24,91,3,2,22,6,False,True,False,2300753.0,
casablanca,Derb Abdellah,24321.0,,124.18,122.24,183,2,2,26,0,False,False,False,4450743.0,
